pool_hash;ticker;name;cluster_id;cluster_name
bdfe2e348209de6c5fc37b3bb050f70b6700f51c5b10070570d8debb;QTM;Quantum Pool;;
df6d366e0d659557f7ce38f1f6015fe5022b15fac72e5c3bd28bc5ed;HEL;CardanoAtStake;;
bdd750e173f3d606c1af13b8661da7c0b5fa43121741c593cceec822;ACL;A CardanoLand pool ACL;19;cardanoland.com
cfff13497008842ab170eae18ecf43be7eb4fa51bdd503821ddaaf19;OCEA4;ADA Ocean Four;3;adaocean.com
2776a773d3744f514970cade5e5729f53843d5fb90f912cf97dbcdd0;NECTR;NECTR;;
c922da2949ca73c3300326dc5f9dc4cb39cf6c855ab8256dffdb9289;LATAM;LATAM Pool;;
83f09b0af923a095a1c17905e802a35d1044f974b25d2a755a2d8266;OCEA5;ADA Ocean Five;3;adaocean.com
9f374e976c13d419e323be9a73370c6fabeafca1ad6561bac780c42f;POF;Pool Overflow 🌊;;
3dc5218de6bf5a29ad6203d9da31b7128c414872e53b8f09767764d4;USA01;United Stakes of Cardano;;
593dfbc66c5b8dfc040851a2f4d87191490d4c2312c65dd4418f7b23;BEAVR;Beaver Pool!;;
291173f43cc28027f0b61d5d22825189aeef3e7e128fa37fef46beb4;GHISX;GHISX POOL;;
8fdf253d44c9817d7dfd72f392a234aaab546d22cbcbc5984f84fc1f;DUCK;🦆 The DUCK Pool;;
58475ab22132ee593d295574d64064307b3338d4525eaaba11ce193f;FLOWR;FLOWR Stake Pool;;
db827cb962df26faab4c289f72f36aeee0e42453f1c78b27ea4e22ba;AACC;AACC;;
6f05ceb1f6a8cf2316e6f623d60483560b7c577c4be6cd2553d67b5f;SHARK;🦈 The SHARK Pool;;
601e2966aabef67887022268eaebdbf68def151f26e16563c2c6d4e4;APPLE;🍏 APPLE staking;;
45eb8952f447ed42954d7b979ff62aadd637e267e4988a443be36054;LAMBO;🚗 LAMBO pool;;
2119e61a82bde0dd3e41aaffe530229b98164831a6ea2f4875571163;AZTEC;Aztec Staking;;
7ac19e69af887439f7e0fb1b0bec30fc8dd02b0f73b4d1f41a36cff4;CASP;Cardaspians;;
09612bc8cf646ded39886839e962d050fb53b81fbe3487eed973554b;FUN1;cardanofun1;115;staking.cardanofun.com
75edaff5db48aa20512e3891747c2a8d68a44f65122142cc1d4dc393;FUN;cardanofun;115;staking.cardanofun.com
bad3503b7459d5bca4169c281f368e8bc76399ade2c958d598b8157c;ASING;ADASingularity;;
21ae98f98fa835820d27ed51aa9a1b6642e4516a161e0c038097c37a;AEON;AEON;;
003e98e43df6cfe3bc2a91a9a3978a07dfa5b9ead7e91f79615d9428;CPS;Create Planets Stakepool;;
0019cb5ac91c786a809f4d87622a29d2c7f57f4697f8c8e8457f4de4;STAKE;🌍 PLANETSTAKE;27;planetstake.com
000001b844f4e4c900ae0dfdc84a8845f71090b82fb473e6c70a31ee;FROG2;ADAfrog 2 🐸;45;adafrog.io
69ac9f5a2074c2809809264e42c996f7d991c5363b41ec55a1164442;SP₳CE;SPACE ONE: Infinite Rewards;46;outerspace.money
7ca6f74bf72922e511003d78affd9f999228ff1543e1007f610c5d12;EARN;Earn Stakepool;77;earningcardano.com
